"","Season","County","Week","Year","Incidents","Predicted","Error","Latitude","Longitude"
"1","2009-2010","Albany",40,2009,4,NA,NA,42.5882713,-73.9740136
"2","2009-2010","Allegany",40,2009,1,NA,NA,42.2478938,-78.0261758
"3","2009-2010","Bronx",40,2009,17,NA,NA,40.8448,-73.8648
"4","2009-2010","Broome",40,2009,2,NA,NA,42.1619773,-75.830291
"5","2009-2010","Cattaraugus",40,2009,0,NA,NA,42.2448527,-78.6810055
"6","2009-2010","Cayuga",40,2009,0,NA,NA,43.0085456,-76.5745866
"7","2009-2010","Chautauqua",40,2009,4,NA,NA,42.3042159,-79.4075949
"8","2009-2010","Chemung",40,2009,0,NA,NA,42.1552807,-76.7471788
"9","2009-2010","Chenango",40,2009,0,NA,NA,42.489732,-75.6049051
"10","2009-2010","Clinton",40,2009,4,NA,NA,44.7527103,-73.7056478
"11","2009-2010","Columbia",40,2009,2,NA,NA,42.2477286,-73.6268046
"12","2009-2010","Cortland",40,2009,0,NA,NA,42.5938237,-76.0762647
"13","2009-2010","Delaware",40,2009,1,NA,NA,42.1939865,-74.966728
"14","2009-2010","Dutchess",40,2009,1,NA,NA,41.7550085,-73.7399512
"15","2009-2010","Erie",40,2009,36,NA,NA,42.752759,-78.7781922
"16","2009-2010","Essex",40,2009,0,NA,NA,44.1089711,-73.7775726
"17","2009-2010","Franklin",40,2009,0,NA,NA,44.5943743,-74.3106698
"18","2009-2010","Fulton",40,2009,1,NA,NA,43.1156093,-74.4236782
"19","2009-2010","Genesee",40,2009,1,NA,NA,43.0009096,-78.1927784
"20","2009-2010","Greene",40,2009,0,NA,NA,42.2869511,-74.1494949
"21","2009-2010","Hamilton",40,2009,0,NA,NA,43.6578786,-74.5024556
"22","2009-2010","Herkimer",40,2009,18,NA,NA,43.1631,-74.8741
"23","2009-2010","Jefferson",40,2009,3,NA,NA,44.0607,-75.9928
"24","2009-2010","Kings",40,2009,15,NA,NA,40.6782,-73.9442
"25","2009-2010","Lewis",40,2009,8,NA,NA,43.7863965,-75.4426165
"26","2009-2010","Livingston",40,2009,1,NA,NA,42.7274845,-77.7697795
"27","2009-2010","Madison",40,2009,5,NA,NA,42.9100255,-75.6635749
"28","2009-2010","Monroe",40,2009,10,NA,NA,43.174966,-77.639663
"29","2009-2010","Montgomery",40,2009,3,NA,NA,42.9008912,-74.4353575
"30","2009-2010","Nassau",40,2009,18,NA,NA,40.7506561,-73.582905
"31","2009-2010","New york",40,2009,31,NA,NA,40.7831,-73.9712
"32","2009-2010","Niagara",40,2009,2,NA,NA,43.203001,-78.71083
"33","2009-2010","Oneida",40,2009,20,NA,NA,43.2427273,-75.4342824
